id,title,price,author,date_data,detail,producer
0, Go并发编程实战（第2版）,¥53.00,郝林, /2017-04-01,国内知名Go语言技术布道者的再造之作 李响、谢孟军、刘奇、左玥、肖德时、Googol Lee、田琪等业内大咖倾心力捧 深入Go语言及其并发原理，挖出并发编程*实践，百样示例助你成为多核计算时代的Go程序高手,人民邮电出版社
0, Go专家编程(第2版),¥53.80,任洪彩|责编:陈晓猛, /2023-04-01,空,电子工业
0, Java核心技术 卷I：开发基础（原书第12版）,¥82.00,[美] 凯·S.霍斯特曼（Cay S.Horstmann）, /2022-06-01,●Java极具影响力世界名著，针对Java 17全面升级，新版涵盖了Java 17新特性； ●豆瓣9.5 高分，50位KOL联名推荐，Java入门霸主毫无争议，数百万Java开发者系统学习Java的优选书籍； ●数百个几乎可直接应用到开发实践中的示例代码全部免费下载； ●作者亲自为本书录制学习视频，对书中重点和难点一一讲解，相关资源可在B站 Java技术核心技术站 免费观看。,机械工业出版社
0, Go Web编程实战派――从入门到精通,¥63.80,廖显东, /2021-04-01,空,电子工业
0, Java核心技术 卷I 基础知识（原书第11版）,¥102.00,"［美］凯·S.霍斯特曼（Cay S. Horstmann） 著 林 琪,苏钰涵 等译", /2022-04-26,适读人群 ：使用Java技术进行实际项目开发的初-中级编程人员 【想了解Java se 17 新特性，请购买《Java核心技术（原书第12版）》】 伴随着Java的成长，《Java核心技术》从第1版到第10版一路走来，得到了广大Java程序设计人员的青睐，成为一本畅销不衰的Java经典图书。 2019年底，针对Java SE 9、10和11的，《Java核心技术》第11版新鲜出炉，这一版有了大幅的修订和更新，不仅补充了Java新版本的新特性，还对之前比较晦涩的部分做了删改，用更清晰明了的示例加以解释，特别是对内容结构做了调整，从而更有利于读者学习和应用。它将续写从前的辉煌，使人们能及时跟上Java前进的脚步。 本卷介绍Java语言和UI编程的基础知识的专业级详解，包括对象、泛型、集合、Lambda表达式、Swing设计、并发和函数式编程等。 要想了解有关Java SE 9、10和11的高级特性，包括企业特性,机械工业出版社
0, 极简Go：新手编程之道,¥29.50,关东升, /2023-08-01,教学资源 1. 微课视频 2. 程序代码 3. 开源工具 4. 教学课件 说明：关注 人工智能科学与技术 微信公众号，在 知识 资源下载 配书资源 菜单获取下载链接（或到清华大学出版社网站本书页面获取下载链接）。,清华大学出版社
0, Go程序设计语言（英文版）,¥57.00,艾伦, /2022-04-13,空,机械工业出版社
0, Go Web编程,¥54.10,[新加坡]郑兆雄（Sau Sheong Chang）, /2017-12-01,Go语言通过提供整洁快速的编译代码、垃圾回收、简单的并发Go模型以及丰富的标准库来满足人们对于可扩展、高性能Web 应用的需求，这种语言非常适用于编写微服务，又或者用于构建可扩展且可维护的系统。 本书将教读者运用现代化设计理念构建Go Web应用的方法。阅读本书能让读者学会如何通过依赖注入设计模式来编写测试替身，如何在Web应用中使用并发特性，还有如何在Web服务中创建以及处理JSON数据和XML数据。除此之外，读者还将学会如何尽可能地减少应用对外部框架的依赖，并了解大量与应用测试以及应用部署有关的有价值的生产技术。 本书主要内容 ● 基础知识。 ● 功能测试和基准测试。 ● 并发特性的使用方法。 ● 将应用部署到独立服务器、PaaS云端以及 Docker 的方法。 ● 大量提示、窍门以及技巧。 本书假设读者熟悉Go语言的基本语法并了解Web 开发,人民邮电出版社
0, Java图解创意编程：从菜鸟到互联网大厂之路,¥71.50,胡东锋, /2023-01-01,这是一本兼具趣味性、实用性、广泛性的好书，简直是编程小白的福音！ 一、深入浅出，用可视化项目让读者体验动手创造世界的编程成就感。 二、理论和工程相结合，在动手的同时夯实基础，让读者更直观地理解数据结构、算法、网络等计算机底层原理。 三、通过代码级别的讲解，让初学者有机会在自学过程中丰富自己的实战经验，接触到业界流行的技术框架，为未来实习和进入职场打下坚实基础。,清华大学出版社
0, Go程序设计语言（英文版）,¥79.00,艾伦, /2022-04-13,空,机械工业出版社
0, Java高并发核心编程 卷1（加强版）：NIO、Netty、Redis、ZooKeeper,¥66.20,尼恩、陈健、徐明冠、岳阳博, /2022-12-01,深入浅出地剖析了高并发IO的底层原理。 图文并茂地介绍了TCP、HTTP、WebSocket协议的核心原理。 细致深入地揭秘了Reactor高性能模式。 全面介绍了Netty框架，并完成单体IM、分布式IM的实战设计。 详尽地介绍了ZooKeeper、Redis的使用。,清华大学出版社
0, Effective Java中文版（原书第3版）,¥49.90,[美]约书亚·布洛克（Joshua Bloch）, /2024-03-01,空,人民邮电出版社
0, 企业级Go项目开发实战,¥96.70,孔令飞 著, /2023-01-31,（1）作者背景资深：作者是腾讯云技术专家，有超过7年的大型Go项目开发经验。 （2）内容得到验证：初稿源于极客时间专栏，超过25000人付费学习并好评，内容全面升级和补充。 （3）大厂经验总结：手把手教你互联网大厂Go项目开发经验和方法。 （4）内容抽丝剥茧：抽丝剥茧讲解Go项目开发全流程和涉及知识点，涵盖项目的设计、管理、开发、测试、部署全部环节。 （5）蕞佳实践设计：书中涉及大部分Go知识点，知识点都朝着蕞佳实践方向是设计，遵循Go 设计模式、Go 开发规范、Go 蕞佳实践、Go简洁架构，使用业界采纳度蕞高的Go包。 （6）提供项目源码：一个案例贯穿全书，提供可部署、可运行案例源码，可二次开发，可在生产中复用。 （7）知名专家推荐：极客邦科技创始人、腾讯云云原生产品总经理等专家联袂推荐。,机械工业出版社
0, Go语言编程实战,¥29.50,强彦 王军红, /2019-07-16,本书通过通俗易懂的语言，丰富多彩的实例，详细介绍用Go语言程序开发知识。书中提供了大量程序案例，配有注释，读者轻松领会Go程序开发精髓，快速提高开发技能。配套讲解视频，扫描书中二维码就可以观看视频，使学习变得更加轻松,清华大学出版社
0, Go语言底层原理剖析,¥49.40,郑建勋, /2021-08-01,空,电子工业
0, Java核心技术速学版（第3版）,¥49.90,[美]凯·S.霍斯特曼（Cay S. Horstmann）, /2024-04-01,1.经典Java作品《Java核心技术》的速学版本，降低学习门槛，帮助读者更容易学习Java，更快地把相关知识应用到实际工作中； 2.Java入门优选书籍，涵盖Java 8-Java 17的新特性，作者Java大神霍斯特曼； 3.快速切入主题，展示解决编程问题所需的核心知识，既扎实覆盖Java编程的基础知识，更独具匠心地带领读者探索和实践Java的诸多新特性； 4.提供丰富的示例，还给出了大量注释、提示和警告，这些都是作者实际经验的总结，对编程实践大有裨益。,人民邮电出版社
